w1,w2,count,pmi
5,27,11,0.037038944750567106
45,65,14,0.19350684337293417
99,158,11,0.05993070646691574
5,38,11,0.037038944750567106
20,36,10,0.05189916032131546
27,45,11,0.0032797061272624786
21,172,13,0.16690339459096026
21,110,14,0.19350684337293417
36,153,13,0.07931148461214169
35,36,11,0.03810684693377591
49,107,11,0.7444843438056282
38,99,12,0.06897117983611745
36,99,18,0.0037983206426309406
21,45,18,0.46899559358928133
21,158,11,0.1251035656604022
45,49,11,0.1251035656604022
5,113,10,0.024224933980688895
99,107,12,0.06897117983611745
110,153,10,0.029883657378849328
27,62,11,0.3612666954096576
35,62,12,0.7166422780956523
38,87,12,0.32192809488736235
27,99,12,0.06897117983611745
5,172,12,0.05343978935906332
99,119,10,0.05189916032131546
49,99,11,0.05993070646691574
20,21,10,0.10803154614560015
21,99,18,0.18639695711595605
21,107,12,0.14448434380562794
87,153,11,0.017237469347845202
87,172,10,0.008265228143692419
99,110,14,0.09139023062144994
27,35,11,0.5052347069926498
62,99,13,0.07931148461214169
5,153,11,0.0001564056713894992
21,35,11,0.0032797061272624786
20,45,10,0.10803154614560015
36,49,11,0.05993070646691574
57,62,11,0.5901760274466119
65,119,10,0.3958156020033582
45,158,11,0.1251035656604022
36,180,10,0.05189916032131546
5,65,13,0.07448892585144068
5,171,12,0.2280667035464144
45,99,18,0.18639695711595605
36,45,18,0.18639695711595605
87,119,10,0.23645279766002802
35,57,11,0.7444843438056282
99,172,13,0.07931148461214169
5,49,10,0.024224933980688895
36,119,10,0.05189916032131546
36,113,11,0.05993070646691574
36,65,14,0.09139023062144994
87,110,12,0.03226839966338631
27,57,10,0.3853352237189572
21,62,12,0.00760180472645039
65,87,12,0.03226839966338631
49,110,11,0.4680577739061723
49,87,11,0.2759438679601625
21,171,12,0.14448434380562794
171,172,11,0.3612666954096576
36,110,14,0.09139023062144994
45,110,14,0.19350684337293417
153,172,10,0.08266081352364765
45,62,12,0.00760180472645039
36,62,12,0.03208864075694001
36,158,11,0.05993070646691574
36,171,12,0.06897117983611745
87,99,16,0.12414133222412951
35,99,12,0.06897117983611745
45,180,10,0.10803154614560015
21,49,11,0.1251035656604022
21,153,12,0.00760180472645039
87,107,12,0.32192809488736235
36,87,15,0.016564903822345024
65,110,14,0.8812908992306924
21,38,12,0.14448434380562794
20,107,10,0.6099865470109875
5,36,17,0.14865258200778253
38,65,12,0.5567796494470394
45,113,11,0.1251035656604022
107,110,12,0.5567796494470394
99,113,11,0.05993070646691574
36,107,12,0.06897117983611745
21,65,14,0.19350684337293417
36,38,12,0.06897117983611745
99,171,12,0.06897117983611745
107,119,10,0.6099865470109875
21,113,11,0.1251035656604022
35,45,11,0.0032797061272624786
38,107,12,0.9709505944546686
5,180,10,0.16919485510105406
20,49,10,0.7582766571931678
5,45,17,0.33125121848110783
20,119,10,1.0
21,180,10,0.10803154614560015
5,107,11,0.037038944750567106
99,125,10,0.05189916032131546
65,107,12,0.5567796494470394
45,87,15,0.03690791540384348
20,110,10,0.3958156020033582
45,172,13,0.16690339459096026
38,49,11,0.7444843438056282
20,65,10,0.3958156020033582
5,35,11,0.037038944750567106
20,38,10,0.6099865470109875
36,172,13,0.07931148461214169
5,21,17,0.33125121848110783
49,65,11,0.4680577739061723
38,119,10,0.6099865470109875
38,45,12,0.14448434380562794
57,99,11,0.05993070646691574
21,57,11,0.1251035656604022
21,36,18,0.18639695711595605
62,87,10,0.008265228143692419
27,36,11,0.03810684693377591
45,153,12,0.00760180472645039
45,57,11,0.1251035656604022
21,27,11,0.0032797061272624786
20,87,10,0.23645279766002802
49,119,10,0.7582766571931678
45,171,12,0.14448434380562794
110,119,10,0.3958156020033582
5,99,17,0.14865258200778253
99,153,12,0.03208864075694001
38,110,12,0.5567796494470394
99,180,10,0.05189916032131546
21,87,15,0.03690791540384348
5,57,11,0.19660717939188022
5,158,10,0.024224933980688895
45,107,12,0.14448434380562794
65,153,10,0.029883657378849328
20,99,10,0.05189916032131546
45,119,10,0.10803154614560015
158,172,10,0.2791115872441384
5,110,13,0.07448892585144068
36,57,11,0.05993070646691574
21,119,10,0.10803154614560015
5,62,12,0.05343978935906332
5,87,14,0.012733125264896655
65,99,14,0.09139023062144994
